number,url,title,author,created,updated,draft,base,files_changed,additions,deletions,mergeable_state,area,real,relevant_to_main,security,safe_to_merge,useful,verdict,human_attention,effort,blocking,duplicate_of,security_notes,notes
10092,https://github.com/cline/cline/pull/10092,"[Aikido] Fix 13 security issues in lodash, socket.io-parser, yaml and 6 more",aikido-autofix[bot],2026-04-01,2026-04-08,False,main,2,48,96,dirty,deps,partly,yes,clean,after-rebase,low,review-and-merge,yes,trivial,conflicts with main; 'Run Tests' check failing,,"This is itself a security-patch PR and I verified what it actually does rather than trusting the summary: docs/package.json gains npm overrides for qs@6.14.2, minimatch@3.1.4 and path-to-regexp@0.1.13, and docs/package-lock.json bumps ajv 8.17.1->8.18.0, brace-expansion 1.1.12->1.1.13, minimatch 3.1.2->3.1.4, path-to-regexp 0.1.12->0.1.13, qs 6.14.1->6.14.2, socket.io-parser 4.2.5->4.2.6 and yaml 2.8.2->2.8.3. All are patch bumps of well-known packages pinned with integrity hashes to the public registry. No lodash or zod change appears anywhere in the diff despite the title. Scope is the Mintlify docs site's build toolchain only - nothing here ships to users.","Routine automated dependency hygiene for the docs site, and cheap to take. Two caveats worth knowing before merging: the title and CVE table oversell the change (the headline critical lodash RCE is not addressed by this diff at all - lodash never appears in it), and roughly 76 of the lockfile lines are pure npm-version churn adding or removing 'peer': true markers rather than substantive upgrades."
10111,https://github.com/cline/cline/pull/10111,fix(cli): ignore api_req_failed history on resume,zerone0x,2026-04-03,2026-04-03,False,main,2,7,2,dirty,legacy-dead-paths,yes,no,clean,no,none,close-obsolete,no,trivial,both cli/src/utils/plain-text-task.ts and src/core/task/index.ts are gone from main,,"Filters an in-memory message array and adds a timestamp comparison. No deps, network, exec, or persisted-state format change.","Drops stale api_req_failed asks on resume so a historical failure does not immediately abort a resumed task (#9948). Neither file survives on main - plain-text-task.ts does not exist anywhere and the CLI has been rebuilt on the SDK - and the Task-side filter is a blunt instrument anyway, stripping every api_req_failed ask rather than only pre-resume ones. Superseded in scope by the same author's #10112, which is also obsolete."
10112,https://github.com/cline/cline/pull/10112,fix(cli): ignore pre-resume api failures in plain text,zerone0x,2026-04-03,2026-04-03,False,main,2,28,11,dirty,legacy-dead-paths,partly,no,clean,no,none,close-obsolete,no,small,both modified files are gone from main; logic is self-defeating as written,,"In-memory message bookkeeping using a Set of timestamps. No deps, network, exec, or auth surface.","The broader sibling of #10111 for the same issue, snapshotting the pre-resume message timestamps instead of using a wall-clock cutoff. Beyond being obsolete it is also sloppy: `let initialHistoryTs: Set<number> | null = shouldIgnoreHistory ? null : null` is a ternary that always yields null, and shouldEvaluateCompletion evaluates to false whenever initialHistoryTs is still unset during a resume, so completion detection is silently disabled for the window before the snapshot is taken."
10138,https://github.com/cline/cline/pull/10138,refactor(MessagesArea): remove unnecessary scrollbar hiding styles,orchid-world,2026-04-04,2026-04-04,False,main,1,0,2,dirty,vscode-new,yes,yes,clean,after-changes,medium,needs-author-work,yes,trivial,targets deleted webview-ui/ path; 'Run Tests' check failing; no verification that the scrollbar actually returns,,"Deletes two inline CSS properties. No logic, deps, network, or state involved.","Two-line removal of scrollbarWidth: 'none' and msOverflowStyle: 'none' from the Virtuoso list, keeping overflowAnchor: 'none'. Both lines are still present verbatim on main at apps/vscode/webview-ui/src/components/chat/chat-view/components/layout/MessagesArea.tsx:316-317, and since Chromium now honours scrollbar-width this is a credible root cause for the missing chat scrollbar in #9201. The author hedges it as 'likely unused', with no screenshot, so someone needs to confirm the hidden scrollbar was not a deliberate design choice before taking it."
10140,https://github.com/cline/cline/pull/10140,fix(api): stop retrying long retry-after 429s,zerone0x,2026-04-05,2026-04-27,False,main,2,38,2,dirty,legacy-dead-paths,yes,no,clean,no,none,close-obsolete,no,trivial,src/core/api/retry.ts and the withRetry decorator no longer exist on main,,"Adds a constant and one throw inside an existing retry decorator, plus a sinon-based unit test. No deps, no network calls introduced, no credential handling.","Adds a 5-minute STOP_THRESHOLD_MS so a 429 carrying a retry-after of an hour surfaces immediately instead of burning retry attempts on a sleep, and fixes a pre-existing fake-timer bug in the neighbouring test. Reasonable change, but neither the file nor withRetry exists anywhere under apps/ or sdk/ on main - retry handling moved into the SDK's provider layer - so there is nothing to apply it to."
10146,https://github.com/cline/cline/pull/10146,fix(plan-mode): prevent repeated restricted-tool error rows during streaming,saoudrizwan,2026-04-06,2026-04-07,False,main,1,1,1,dirty,legacy-dead-paths,yes,no,clean,no,none,close-obsolete,no,trivial,src/core/task/ToolExecutor.ts is gone; the error string it edits exists nowhere on main,,"Single-argument change passing block.partial into an existing say() call. Explicitly does not touch tool gating, mode restrictions, or result semantics - the restricted-tool block itself is unchanged, only how the error message is rendered.","One-line fix for duplicate error rows when a restricted tool streams in plan mode, passing block.partial through so partial chunks update a single message instead of appending a new one each time. Authored by a Cline team member, but it has sat untouched since 2026-04-07 and grepping the repo for its error text ('is not available in PLAN MODE') returns nothing, so the file and the branch it patches are both gone. Safe to close as superseded by the SDK rewrite."
10150,https://github.com/cline/cline/pull/10150,fix: use user-specific temp directories for multi-user support,RealMisterPotato,2026-04-06,2026-05-05,False,main,1,26,9,dirty,vscode-new,yes,yes,minor-concerns,after-changes,medium,needs-author-work,yes,small,targets the pre-move src/ path; needs rebase onto apps/vscode/src/services/temp/,,"Security-motivated but under-delivers on its own premise. As merged it still calls fs.mkdirSync(os.tmpdir()/cline, {recursive:true}) first and only falls back to cline-{username} when that throws - and on Linux mkdirSync with recursive:true succeeds silently against an existing /tmp/cline owned by another user, so the shared directory keeps being used and cross-user isolation is not actually achieved. The os.userInfo() call is correctly wrapped in try/catch (it throws in containers whose UID is absent from /etc/passwd), which matters because this runs in a singleton constructor at module load. No new deps, network, or exec.","The only PR in the batch with real back-and-forth from the Cline side: ClineXDiego asked for a try/catch around os.userInfo() and for the shared-directory-first fallback specifically to avoid orphaning existing users' temp files, and the author implemented exactly that. CI is fully green and apps/vscode/src/services/temp/ClineTempManager.ts on main is still the unpatched version, so the change applies - it just needs re-targeting. Worth flagging to the reviewer that the shared-first ordering they requested means the multi-user isolation in the title does not actually happen on Linux."
10159,https://github.com/cline/cline/pull/10159,docs: add hyperlink to 'Review security architecture' in enterprise overview,jl-codes,2026-04-06,2026-04-12,False,main,1,1,1,blocked,docs,yes,yes,clean,after-changes,low,review-and-merge,yes,trivial,blocked by jessy-cline's changes-requested review,,"One-line .mdx edit. The only new URL is https://cline.bot/contact-sales, a first-party marketing page already linked elsewhere in the enterprise docs. No code, deps, or endpoints.","Turns the bare 'Review security architecture' bullet in docs/enterprise-solutions/overview.mdx (still plain text on main at line 90) into a link. Two Cline reviewers are already on it with opposite verdicts - trupix approved, jessy-cline requested changes with an empty body - so it needs one person to break the tie. The substantive objection is that the link text promises security architecture but points at a contact-sales form, which Greptile flagged independently; either reword the bullet or point it at real security docs."
10181,https://github.com/cline/cline/pull/10181,fix(terminal): refactor completion detection to use onDidEndTerminalShellExecution and idle timeout,mihmosh,2026-04-08,2026-05-15,False,main,2,340,114,dirty,vscode-new,yes,no,clean,no,low,close-obsolete,no,large,already fixed on main by #11972 with a better design,,"Restructures how an existing terminal output stream is consumed; it does not change what commands run or how they are approved. No new deps, network calls, or exec paths. Uses a (vscode.window as any) cast to feature-detect the end event, which is a typing smell rather than a security issue, and a __TERMINAL_IDLE_TIMEOUT_OVERRIDE global test hook that would ideally not live in shipped code.","Replaces the unbounded `for await` read loop with a Promise.race over the VS Code end event, the legacy OSC 633 D marker, stream closure and a 30s idle timeout, and the setInterval leak Greptile flagged has since been fixed with a finally/clearInterval. It is nonetheless superseded: commit 12703bf40 (#11972, 'Improve VS Code terminal reliability: OSC 633 parser, exit codes, timeout handling') landed the same strategy on main with proper typing, a real Osc633Parser and - importantly - an idle timeout that only applies before the C marker is seen, avoiding this PR's flaw of killing any long-running command that stays quiet for 30 seconds."
10193,https://github.com/cline/cline/pull/10193,fix syntax error,jl-codes,2026-04-08,2026-04-10,False,main,1,2,0,dirty,docs,yes,no,clean,no,none,close-obsolete,no,trivial,already fixed on main,,"Adds two lines of .mdx (a description string and a closing </Card> tag). No code, deps, URLs, or endpoints.","Closes an unbalanced <Card> for the Anthropic entry in docs/enterprise-solutions/configuration/remote-configuration/overview.mdx. The card on main is already properly closed with the copy 'Direct Anthropic API access with optional custom base URL configuration.', so the defect is gone and merging would just conflict. jessy-cline's outstanding changes-requested (asking for icon='anthropic' instead of icon='robot') is moot for the same reason."
10210,https://github.com/cline/cline/pull/10210,Remove `/deep-planning` built-in slash command,candieduniverse,2026-04-09,2026-04-09,False,main,23,56,1773,dirty,mixed,yes,no,clean,no,none,close-low-quality,no,medium,no product mandate or linked issue; targets deleted src/ tree; removes a shipped user-facing feature,,"Pure deletion of a prompt-command tree plus docs and test updates; it removes rather than adds attack surface. No new deps, endpoints, or exec paths, and CodeQL passed on all four language analyses.","Mechanically clean removal of /deep-planning (-1773 lines) with redirects wired into docs.json and regression tests updated, and CI including the JetBrains plugin run is green. The problem is the mandate, not the execution: no linked issue (the template still says #XXXX), no maintainer ever commented, the branch is named eve/delete-deep-planning, and it deletes a documented feature. deep-planning still exists on main in apps/vscode/src/shared/slashCommands.ts, so it would also have to be redone against apps/. This reads as an agent exercise rather than product work - see the sibling #10213 whose own description says the change will not be released."
10211,https://github.com/cline/cline/pull/10211,Remove `/reportbug` built-in slash command,candieduniverse,2026-04-09,2026-04-09,False,main,53,57,381,dirty,mixed,yes,no,clean,no,none,close-low-quality,no,medium,no product mandate or linked issue; JetBrains plugin tests failing; targets deleted src//webview-ui//proto/ tree,,"Deletion-only across extension, webview, CLI, proto and eval fixtures; the REPORT_BUG proto enum slot is reserved rather than renumbered, so no wire-format aliasing hazard. No new deps, endpoints, or exec paths.","Same unmandated-removal pattern as #10210, this time deleting /reportbug and the whole report_bug tool/ask/RPC/UI flow across 53 files. Two extra red flags: the downstream JetBrains plugin tests fail on this branch, and the author's workaround is to leave empty 'compatibility shim' modules at the deleted paths (e.g. src/core/task/tools/handlers/ReportBugHandler.ts gutted to 7 lines) so a sync process that copies files without propagating deletions keeps building - a hack no maintainer should accept. reportbug and report_bug are both still live on main under apps/vscode/src/."
10213,https://github.com/cline/cline/pull/10213,Remove workflows feature end-to-end,candieduniverse,2026-04-09,2026-04-09,False,main,51,145,1357,dirty,mixed,yes,no,clean,no,none,close-low-quality,no,large,author states it will not be released; no linked issue; targets deleted src//webview-ui//proto//cli/ tree,,"Removes rather than adds surface, and in fact shrinks a prompt-injection vector by deleting the path that injected user-authored markdown workflow files into the prompt. One behavioural note for enterprise operators: dropping globalWorkflows from the remote-config Zod schema means legacy admin payloads still containing that key are silently stripped rather than rejected. No new deps, endpoints, or exec paths.","The largest of the three eve/delete-* removals (-1357 lines over 51 files), stripping workflows from the runtime, slash-command discovery, state keys, proto RPCs, remote config, both UIs, docs and e2e fixtures. The description opens with '(We will not be releasing this.)', which is the author confirming it is an exercise rather than a proposal. CI is green and the proto field numbers are properly reserved, but workflows remain a live, documented feature on main in apps/vscode/src/core/context/instructions/user-instructions/workflows.ts and apps/cli/src/utils/chat-commands.ts. Close it."
10243,https://github.com/cline/cline/pull/10243,"fix: DiffViewProvider — await scroll, accurate line count, BOM preservation",bob10042,2026-04-11,2026-04-21,False,main,6,42,19,dirty,legacy-dead-paths,yes,no,clean,no,low,close-obsolete,no,small,targets deleted root src/ and cli/ paths; conflicts with main; BOM comparison bug flagged in review,,"Reviewed the full diff: no new dependencies, no network calls, no exec/shell usage, no auth or auto-approve changes. Only local file I/O already performed by DiffViewProvider (fs.writeFile to the same absolutePath) plus a BOM prefix and Boolean->boolean type cleanups. No path construction changes, so no traversal surface added.","Three real micro-fixes (await scrollEditorToLine, use getDocumentLineCount in revertChanges, re-add UTF-8 BOM on save) to src/integrations/editor/DiffViewProvider.ts and cli/src/acp/ACPDiffViewProvider.ts. Neither path exists on main — the entire DiffViewProvider abstraction is gone (no file matching DiffViewProvider anywhere in the tree), so there is nothing to rebase onto. Greptile also identified a live bug: the BOM is prepended to this.newContent before the preSave/newContent comparison, which would report a false 'user edited Cline's output' on every BOM-file save."
10249,https://github.com/cline/cline/pull/10249,Allows kanban cards to have context window usage and costing on each card,asdodd,2026-04-12,2026-04-12,False,main,2,6,1,dirty,legacy-dead-paths,no,no,clean,no,none,close-low-quality,no,trivial,"targets deleted root src/; CI failing (test, e2e ubuntu, Smoke Tests); feature not actually implemented",,"6-line diff, fully reviewed: adds an optional numeric field to an interface and populates it from local model config. No deps, no network, no shell, no credential or permission handling.","Title promises context-window usage and cost on kanban cards; the diff only adds an optional `contextWindow` field to ApiStreamUsageChunk and sets it in the openai-codex handler. Nothing consumes the field — no task handler, no UI — so it is a no-op that only affects one provider. Both files (src/core/api/transform/stream.ts, src/core/api/providers/openai-codex.ts) are on paths deleted from main."
10254,https://github.com/cline/cline/pull/10254,fix: use deterministic keys for MCP server tool routing,KeWang0622,2026-04-12,2026-04-12,False,main,3,116,7,dirty,legacy-dead-paths,yes,unsure,minor-concerns,after-changes,medium,needs-author-work,yes,small,targets deleted root src/services/mcp/; must be re-targeted to apps/vscode/src/services/mcp/McpHub.ts; hash truncation should be reviewed,,"Replaces nanoid(5) with a djb2 hash in the new src/services/mcp/server-key.ts. Not a security-critical identifier (it only namespaces MCP tool names), but the implementation takes the FIRST 5 chars of the base36 string via `.padStart(5,'0').slice(0,5)`, which for values >= 36^5 truncates the low-order digits and materially raises collision odds versus the intended 5-char space. The PR does add a collision warning log. No new deps (it removes the nanoid import), no network, no shell, no auth change.","Swaps the random per-session nanoid MCP server key for a deterministic hash so cached tool names survive an extension restart (issue #8087). The defect is still live on main: apps/vscode/src/services/mcp/McpHub.ts line 156 still does `const uid = ""c"" + nanoid(5)`. Clean, well-tested code (10 unit tests) but written against the pre-restructure path, so it needs a port, not a rebase."
10304,https://github.com/cline/cline/pull/10304,"feat: Vertex AI Architecture Overhaul (Claude 4.7, Gemini 3.1, & Region Decoupling)",TAMdrew,2026-04-17,2026-04-28,False,main,7,401,257,dirty,legacy-dead-paths,partly,no,minor-concerns,no,low,close-low-quality,no,large,targets deleted root src/ and proto/; conflicts with main; Smoke Tests failing; whole-file reformat makes review impractical,,"No new dependencies, no credential handling changes, no shell/exec, and endpoints stay within Google Vertex AI. The concern is reviewability: src/core/api/providers/vertex.ts is reformatted wholesale from tabs to 2-space indentation with semicolons added (100+ reformatted lines), against biome.json's `indentStyle: ""tab""`. That hides the actual logic changes inside a 401/257 diff, which is exactly the shape in which a bad change slips through unnoticed.","Bundles four unrelated things (per-mode Vertex region decoupling, Opus 4.7 task_budget/adaptive thinking, strict-schema payload stripping, and new model registry entries) into one 7-file diff on paths that no longer exist. Reviewers already found the region fields were dropped on the proto round-trip and that a UI field wrote to a state key that was never registered; the author claims fixes but the whole-file reformat of vertex.ts still makes verification impractical."
10308,https://github.com/cline/cline/pull/10308,docs: add QuickSilver Pro provider configuration page,raullenchai,2026-04-17,2026-04-21,False,main,1,39,0,blocked,docs,yes,no,minor-concerns,no,low,close-low-quality,no,trivial,not registered in docs/docs.json (orphan page); conflicts with main's pruned provider-doc set; vendor self-promotion,,"Docs-only (one new .mdx, 39 lines): no code, no deps, no scripts. It does direct users to send their API key and full conversation to https://api.quicksilverpro.io/v1, a vendor with no independent presence that the author discloses an affiliation with. It also asserts 'DeepSeek removed R1 from their direct API in December 2025' to argue this vendor is 'the only way to continue using it' — an unverifiable marketing claim shipped as Cline documentation.","Self-disclosed vendor adding a marketing-flavoured setup page for their own OpenAI-compatible endpoint. docs/provider-config/ on main has been deliberately pruned to 12 curated providers plus other-30-plus-providers.mdx, with the removed ones turned into redirects in docs.json, so a new per-vendor page runs against the current docs direction. The page is also not wired into docs.json navigation, so it would be unreachable."
10315,https://github.com/cline/cline/pull/10315,Fix gemini flash 3 preview price,dirac-run,2026-04-18,2026-04-18,False,main,1,4,16,dirty,legacy-dead-paths,partly,no,clean,no,low,close-obsolete,no,trivial,targets deleted root src/shared/api.ts; conflicts with main; CI 'Run Tests' failing; undisclosed removal of the tiers array,,"Pure pricing-constant edit in src/shared/api.ts. No deps, no network, no code paths changed — only numeric metadata.","Moves 0.05 from cacheWritesPrice to cacheReadsPrice for gemini-3-flash-preview. Beyond what the description says, it also silently deletes the entire two-entry `tiers` array from the geminiModels entry, which changes tiered billing. On main this data now lives in the generated sdk/packages/llms/src/catalog/catalog.generated.ts (where cacheRead is still 0), so the file being edited is gone and any real correction belongs in the catalog generator."
