number,url,title,created,updated,author,labels,area,kind,verdict,relevant_to_main,severity,human_attention,duplicate_of,cluster,evidence,notes
10035,https://github.com/cline/cline/issues/10035,Save/Reject buttons become disabled on second file during multi-file edit approval,2026-03-28,2026-07-09,AlexeySa,JetBrains|P3,vscode-new,bug,already-fixed,no,high,yes,,diff-approve-buttons-stuck,"Fixed on main by `0175548dd fix(vscode): re-enable approval buttons for consecutive asks` (2026-06-03), whose message describes exactly this: ""The footer Approve/Reject buttons stayed disabled when a second consecutive approval ask arrived. The button configs are shared singletons (e.g. BUTTON_CONFIGS.tool_approve), so two identical asks return the same object reference."" The fix is present in `apps/vscode/webview-ui/src/components/chat/chat-view/components/layout/ActionButtons.tsx` (ref-based latch keyed on `askIdentity = anchorTs:primaryText:secondaryText`, line 53) with a regression test in `ActionButtons.test.tsx`. The shared singletons are still in `chat-view/shared/buttonConfig.ts:53 tool_approve`.","Fix is in the shared webview, so JetBrains gets it too once the plugin picks up the new bundle. Needs a human only to post a status/version comment — this thread has five escalating users (""How is this not P0"", two churn reports) and the P3 label is now wrong."
10042,https://github.com/cline/cline/issues/10042,"Kanban view shows ""No working changes"" for tasks that have diffs",2026-03-29,2026-04-21,leighmcculloch,CLI,unknown,feature-request,feature-request,no,low,no,,,"Reporter self-resolved in the first comment: the diff was empty because auto-commit was on. The remaining ask (""a tab that shows all changes against the main branch"") is a Kanban UI feature, and Kanban lives in `cline/kanban` per `README.md`; nothing under `apps/` or `sdk/packages/` renders the Kanban board.",Not a defect. Maintainer already acknowledged the feedback; move the enhancement to cline/kanban.
10052,https://github.com/cline/cline/issues/10052,cline kanban: not restoring sessions after process crash,2026-03-30,2026-04-08,mwindhoff,P2|CLI|Kanban,unknown,bug,out-of-scope,no,medium,no,,kanban-crash-data-loss,"Kanban card/session state is owned by the `cline/kanban` package (`README.md` products table); `apps/cli/src/commands/kanban.ts` only installs and spawns it. The SDK session store on main (`sdk/packages/core/src/services/session-data.ts`, `sdk/packages/shared/src/storage/paths.ts resolveSessionDataDir`) has no Kanban card/trash concept.",Maintainer said session recovery improved in later Kanban builds; chik-lab's follow-up (work lost when a reviewing card is trashed) is a genuine data-loss report but belongs in cline/kanban. The ctrl+w and 'rust-native kanban' asks are separate enhancements.
10054,https://github.com/cline/cline/issues/10054,Cline preventing sleep on macos,2026-03-30,2026-06-02,l0pl0p,stale,vscode-new,bug,needs-info,unsure,medium,no,,,"Nothing on main obviously holds a macOS power assertion: the only long-lived timers in the extension are `apps/vscode/src/sdk/SdkController.ts:715` (remote config poll), `apps/vscode/src/services/temp/ClineTempManager.ts:195` (temp cleanup) and `apps/vscode/src/shared/services/worker/worker.ts:154` (storage sync queue), and the only listening sockets are the ephemeral OAuth callback servers (`apps/vscode/src/hosts/external/AuthHandler.ts:142`, `apps/vscode/src/integrations/openai-codex/oauth.ts:779`). Node timers do not create sleep assertions, so I could not attribute this to a specific symbol.","Extension bisect is decent evidence it is Cline, but the maintainer's three follow-up questions were never answered and it went stale. `pmset -g assertions` output while idle would make it actionable. Possibly the same root cause as #9983 (both 3.76 + VS Code 1.113.0)."
10094,https://github.com/cline/cline/issues/10094,Cline is forcefully using 128k context window for all models of copilot,2026-04-01,2026-06-07,patoJamriska,stale|VS Code|P3,vscode-new,bug,confirmed-by-code,yes,low,no,,openai-compat-context-window-ignored,"Still present on main: `apps/vscode/src/sdk/vscode-lm/vscode-lm-handler.ts:18` defines `FALLBACK_CONTEXT_WINDOW = 128_000`, and `getModel()` returns it unconditionally (lines 226-241) whenever `this.client` is unset — the client is only populated during `createMessage()`, so before the first request the UI always reports 128k. Even after the client exists, line 210 only uses `client.maxInputTokens` when it is a positive number.","Agent-fixable: resolve the LanguageModelChat eagerly in getModel() (or cache maxInputTokens from getVsCodeLmModels) instead of returning the fallback. Beyond the display, the under-reported contextWindow also drives compaction budgets, so it truncates earlier than necessary."
10115,https://github.com/cline/cline/issues/10115,OpenAl Compatible Use exception,2026-04-03,2026-06-08,xiaolai1218,stale|JetBrains|P3,vscode-new,bug,already-fixed,no,medium,no,,,"The 'Proceed Anyways' prompt is the mistake-limit ask (`apps/vscode/webview-ui/src/components/chat/chat-view/shared/buttonConfig.ts:43 mistake_limit_reached`). HEAD commit `e4091c3686 Stop the task at the mistake limit like the CLI and remove the max-mistakes setting (#12561)` describes exactly the 'Proceed Anyways does nothing' failure: ""the extension used to block on an ask (Proceed Anyways / Start New Task) while the agent loop kept running against the provider""; it is now replaced by the non-interactive stop resolver in `apps/vscode/src/sdk/sdk-interaction-coordinator.ts:61-86`. I found no model-capability gate for openai-compatible on main — the only such text is an informational note in `apps/vscode/webview-ui/src/components/settings/providers/OpenAICompatible.tsx:603`.","Screenshots are the only description of the actual error, so this is partly inferred. If the reporter's real blocker was something other than the stuck mistake-limit ask, it needs re-filing with logs. The maintainer's 'model recognition' theory is not backed by code on main."
10128,https://github.com/cline/cline/issues/10128,/tmp/cline directory permission conflict when multiple users run Cline CLI,2026-04-03,2026-06-06,WilliamMayor,stale|CLI,vscode-new,bug,confirmed-by-code,yes,medium,yes,,,"`apps/vscode/src/services/temp/ClineTempManager.ts:39-47` still does `fs.mkdirSync(path.join(os.tmpdir(), ""cline""))` with no per-user namespacing and no restrictive mode, so on Linux the first user owns `/tmp/cline` at 0755 and later users get EACCES when `createTempFilePath()` output is written (e.g. from `apps/vscode/src/sdk/vscode-run-commands-tool.ts:117`). `apps/cli/src/utils/helpers.ts:535` has the same shape for `join(tmpdir(), ""cline-sandbox"")`. The CLI's normal state dir is safe — `sdk/packages/shared/src/storage/paths.ts:40` explicitly notes it lives under the cline data dir ""not os.tmpdir()"" so ""the path is private to the user on multi-user hosts"".","The open community PR #10150 patches `src/services/temp/ClineTempManager.ts` — a path that no longer exists on main. It needs to be re-targeted to `apps/vscode/src/services/temp/ClineTempManager.ts` (and ideally `apps/cli/src/utils/helpers.ts resolveSandboxDataDir` too), which is why a human should look."
10129,https://github.com/cline/cline/issues/10129,"When typing anywhere in the IDE, the cursor unexpectedly returns to the cline text box.",2026-04-04,2026-06-05,duvallglobal,VS Code,vscode-new,bug,confirmed-by-code,yes,medium,yes,,,"`apps/vscode/webview-ui/src/components/chat/ChatView.tsx` still steals focus unconditionally: a `useMount(() => textAreaRef.current?.focus())` (line ~338) plus an effect keyed on `[isHidden, sendingDisabled, enableButtons]` that calls `textAreaRef.current?.focus()` on a 50ms timer (lines ~341-350) with no check that the webview currently owns focus. `sendingDisabled` flips at every request boundary, so the composer grabs focus mid-task while the user is typing in the editor. The showWebview subscription (line ~287) is the only path that honours a `preserveEditorFocus` flag.","Third reporter says it happens consistently at VS Code startup, which matches the useMount focus. Fix needs a judgment call on which of the three focus paths to gate on document.hasFocus()/webview visibility. Owned by apps/vscode/webview-ui."
10130,https://github.com/cline/cline/issues/10130,A common occurrence among amateurs,2026-04-04,2026-06-06,TwisterW362,stale|VS Code,vscode-new,bug,confirmed-by-code,yes,medium,yes,,extension-not-activating,"Abusive tone aside, the structural claim checks out on main: `apps/vscode/src/extension.ts activate()` runs `await cleanupLegacyVSCodeStorage(context)` (line 76), `await exportVSCodeStorageToSharedFiles(...)` (line 82) and `await initialize(storageContext)` (line 86) with no try/catch, and the first `vscode.commands.registerCommand` is not reached until line 128. If any of those awaits rejects, the sidebar view still renders but every command (`commands.PlusButton`, `commands.SettingsButton`, ...) is unregistered — exactly the 'command not found' ghost-ship symptom.","Two separate decisions for a human: (a) harden activate() by registering commands before the storage-migration awaits or wrapping them in try/catch, and (b) the Code of Conduct response to the report itself. There is no repro and no version info attached, so the hardening is the only actionable part."
10133,https://github.com/cline/cline/issues/10133,Task command failed at http://127.0.0.1:3484: fetch failed,2026-04-04,2026-06-05,Louber1,stale|CLI,unknown,question-support,needs-info,no,low,no,,,"'Operation not permitted' on a localhost connect is an OS/CLI sandbox denial, not a Cline error string — it appears nowhere in `sdk/packages` or `apps/`. Cline's own `--data-dir`/`CLINE_SANDBOX` mode only relocates state (`apps/cli/src/utils/helpers.ts:529 resolveSandboxDataDir`, `configureSandboxEnvironment`) and never restricts network. The reporter was on GPT-5.4, which routes through the Codex CLI (`sdk/packages/llms/src/providers/vendors/community.ts createOpenAICodexProviderModule`), whose own seatbelt sandbox blocks outbound connections by default — matching the maintainer's unanswered question ""Is this being run with codex cli?"".","Almost certainly the Codex CLI network sandbox, i.e. user configuration. Also a Kanban usage question. Close with the sandbox explanation if the reporter stays silent."
10135,https://github.com/cline/cline/issues/10135,Claude Code API Provider: Command failed with exit code 1 for all sonnet models,2026-04-04,2026-06-01,emrul,JetBrains,sdk-llms,bug,legacy-only,no,high,yes,,claude-code-exit-code-1,"Both error strings from the thread — ""Command failed with exit code 1"" and ""Unrecognized Claude Code chunk type: result"" — are absent from the whole tree (`grep -rn` across `sdk/` and `apps/` excluding node_modules/dist). The hand-rolled `claude -p --output-format stream-json` subprocess handler that produced them was replaced on main by a thin wrapper over the third-party `ai-sdk-provider-claude-code` package: `sdk/packages/llms/src/providers/vendors/community.ts:85 createClaudeCodeProviderModule`, dispatched from `sdk/packages/llms/src/providers/ai-sdk.ts:1122`.","The defect itself lives in retired 3.x code, but it is a total loss of Sonnet on the currently shipped build for both JetBrains and VS Code (confirmed on 3.77/3.78 by davogler and kenth619). A human should decide whether to patch the legacy branch or just tell users the SDK rewrite supersedes it — and should re-verify Sonnet + Claude Code end-to-end on apps/vscode before closing."
10139,https://github.com/cline/cline/issues/10139,429 with long retry-after retried instead of surfaced — WAIT vs STOP not distinguished,2026-04-04,2026-06-22,SirBrenton,P2|VS Code|Bug,sdk-llms,bug,already-fixed,no,medium,yes,,,"The file the report blames, `src/core/api/retry.ts`, does not exist on main (the only retry helper left is the unrelated `apps/vscode/src/utils/retry.ts`, and `grep -rn 'retry-after'` across `sdk/packages` + `apps/*/src` matches only `apps/vscode/src/services/banner/BannerService.ts:371`). LLM retries now go through the AI SDK's `streamText` (`sdk/packages/llms/src/providers/ai-sdk.ts:1212`), and `ai@6.0.224`'s `getRetryDelayInMs` already discards header-derived delays that are not `< 60s`, falling back to exponential backoff — so the described 3-hour stall cannot happen.","Human needed because of open community PR #11722 (""Fix long retry-after handling"", adds a 5-minute retry-after guard to sdk/packages/llms/src/providers/ai-sdk.ts). Its premise is largely obsoleted by the AI SDK's own 60s cap, so someone should decide whether it is still worth taking. The residual, much smaller issue is that quota-exhaustion 429s still consume 2 retries rather than surfacing immediately. Also note Mike668866's comment is affiliate spam for a third-party 'nexus-inference.com' gateway and should be removed."
10147,https://github.com/cline/cline/issues/10147,Cline disconnects from Ollama models via SSH tunnel,2026-04-06,2026-06-07,tmrdev,VS Code,sdk-llms,question-support,needs-info,unsure,low,no,,,"Ollama was rewritten on main into a native vendor with an explicit, configurable request timeout that only bounds time-to-first-byte and never cuts off streaming (`sdk/packages/llms/src/providers/vendors/ollama.ts:60-110`, landed in `7f9d2e96d fix(ollama): restore native API routing so context window and timeout settings work (#12286)`), so the 3.77 handler the reporter used is gone. The reporter's own comments attribute the drops to duplicated autossh IPv4/IPv6 forwards, and they still saw failures after switching to WireGuard.","Environment/networking, not a Cline defect as filed. The one Cline-side nugget worth keeping is the reconnect loop the reporter describes; that would need its own issue with the loop's log output."
10148,https://github.com/cline/cline/issues/10148,Impossible token count in context window,2026-04-06,2026-04-19,ComputerCraftr,VS Code|Bug|P3,sdk-llms,bug,already-fixed,no,medium,no,,inflated-token-count,"The accumulation the thread diagnosed (Cline summing the per-chunk `usage` that vLLM/ik_llama.cpp emit under `--enable-force-include-usage`) is gone on main: `emitAiSdkEvents` in `sdk/packages/llms/src/providers/ai-sdk.ts` yields exactly one `{type:""usage""}` event after the stream ends, sourced from the AI SDK's aggregated `await stream.usage` with a fallback to the single finish-part usage (lines ~1048-1074), and there is no `+=` on token counts anywhere in `sdk/packages` outside `basic-compaction.ts` (which sums across messages, not chunks). The upstream `@ai-sdk/openai-compatible` provider also overwrites rather than accumulates (`usage = value.usage`).",Worth a one-line confirmation on the thread since the secondary symptom (over-truncation of history from inflated counts) was the more damaging one. Reporters were on 3.77.
10151,https://github.com/cline/cline/issues/10151,Kanban model selector has different/much smaller selection than VScode extension model selector,2026-04-06,2026-06-06,philfung,stale|Kanban,cli,feature-request,out-of-scope,no,low,no,,,"`apps/cli/src/commands/kanban.ts` only resolves, installs (`KANBAN_INSTALL_COMMANDS` -> `kanban@latest`) and spawns the external `kanban` npm binary via `spawnKanbanProcess`; no Kanban UI or model-selector source exists anywhere in this repo, and the extension's catalog lives separately in `sdk/packages/llms/src/catalog/catalog.generated.ts`. Kanban is also being superseded per `apps/cli/src/kanban-migration/notice.ts` (""Try ClinePass"").",Model-catalog parity has to be fixed in the separate `kanban` package; maintainer already acknowledged it as backlog.
10158,https://github.com/cline/cline/issues/10158,"Plan Mode: Interface hangs after plan_mode_respond, prevents bug reporting and all conversation flow",2026-04-06,2026-06-06,ReelMan25,stale|VS Code,vscode-new,bug,legacy-only,no,medium,no,,,"There is no `plan_mode_respond` tool on main: the default tool set is `ALL_DEFAULT_TOOL_NAMES` in `sdk/packages/core/src/extensions/tools/constants.ts` (read_files/search_codebase/run_commands/fetch_web_content/apply_patch/editor/skills/ask/submit_and_exit), and plan mode is prose-driven via `PLAN_MODE_INSTRUCTIONS` in `sdk/packages/shared/src/prompt/cline.ts` plus a `switch_to_act_mode` tool added in `apps/vscode/src/sdk/sdk-session-config-builder.ts`. The remaining `plan_mode_respond` strings in `apps/vscode/src/shared/tools.ts` and `apps/vscode/src/core/prompts/responses.ts` are legacy message-rendering shims.","Reporter's System Information says IntelliJ IDEA + litellm, so it was the JetBrains-embedded 3.76 core. The whole ask/response loop it blames was replaced."
10163,https://github.com/cline/cline/issues/10163,Cline fails to spawn kanban,2026-04-06,2026-04-09,krzysztofwysocki,CLI,cli,bug,already-fixed,no,medium,no,,,"Exactly the requested fix is on main: `apps/cli/src/main.ts` (lines ~690 and ~745) passes `preferredInstaller: getPreferredKanbanInstaller()` into `launchKanban`, and `getPreferredKanbanInstaller` in `apps/cli/src/commands/update.ts` maps `getInstallationInfo().packageManager` (which detects `/pnpm/global`, `/.bun/bin`, npx, yarn from the resolved script path) onto the installer that `resolveKanbanInstallCommand` in `apps/cli/src/commands/kanban.ts` prefers.","Introduced in bff7bf1c4 ""feat(cli): add kanban command and notice dialog (#97)"" (2026-05-11). `ensureKanbanInstalled` also now re-checks PATH after install and prints an actionable message instead of a bare ENOENT."
10166,https://github.com/cline/cline/issues/10166,Multi-platform localization failure - All languages except English fail to apply in both VS Code and JetBrains plugins,2026-04-07,2026-06-07,WangXianZzz,stale|VS Code,vscode-new,bug,invalid-bogus,no,low,no,,ui-localization,"There is no webview i18n implementation to fail: no `package.nls*`, locale or i18n bundle files exist anywhere under `apps/vscode`. The only language feature is `preferredLanguage`, a prompt-only setting (`apps/vscode/webview-ui/src/components/settings/PreferredLanguageSetting.tsx` -> `apps/vscode/src/shared/storage/state-keys.ts`), and it is wired on main in `apps/vscode/src/sdk/cline-session-factory.ts` (~line 796) which appends `# Preferred Language\n\nSpeak in <lang>.` to the system prompt.","Localized UI is a new feature, not a regression. Minor real nit found while checking: `cline-session-factory.ts` injects the language *key* from `getLanguageKey` in `apps/vscode/src/shared/Languages.ts` (""ja"", ""zh-CN"") rather than the display name, which weakens the instruction."
10167,https://github.com/cline/cline/issues/10167,Kanban Agent fails with OCA OAuth re-authentication error despite active session,2026-04-07,2026-04-09,DLakomy,CLI,sdk-core,bug,already-fixed,no,high,no,,,"The reported error text (`OAuth session for ""oca"" requires re-authentication. Run ""clite auth oca""`) does not exist anywhere on main. OAuth resolution was centralized into `sdk/packages/core/src/runtime/orchestration/runtime-oauth-token-manager.ts` (single-flight `resolveProviderApiKey`, `OAuthReauthRequiredError`) with a retry wrapper `runWithAuthRetry`/`syncOAuthCredentials` in `sdk/packages/core/src/runtime/host/local-runtime-host.ts` (~line 2105).","Relevant commits: 0c027d273 ""Centralize OAuth management to the SDK (#11260)"" (2026-06-09) and a3989acc3 ""fix(sdk): don't log users out when token refresh fails due to network/server errors (#12255)"" (2026-07-13), which is the exact class of false re-auth prompt reported. Worth asking the reporter to retest before closing."
10169,https://github.com/cline/cline/issues/10169,"""\x64"" in a path keeps getting removed",2026-04-07,2026-06-07,rbfrancis,stale|VS Code,sdk-llms,bug,repro-candidate,yes,high,yes,,,"Reproduced the corruption mechanism directly against main's code: `sdk/packages/llms/src/providers/ai-sdk.ts:1218` wires `experimental_repairToolCall: repairMalformedToolCall`, which routes malformed tool arguments through `parseJsonStream` (`sdk/packages/shared/src/parse/json.ts`, strategy `JSON.parse(jsonrepair(text))`). Running that function on `{""path"":""C:\Users\me\proj\x64\Debug\app.exe""}` returns `C:Usersmeprojx64Debugapp.exe` -- every single backslash is silently dropped and the repaired call is executed with no warning.","Fix likely belongs in `sdk/packages/shared/src/parse/json.ts`: do not accept a jsonrepair result whose string values lost backslashes, or repair escapes before delegating. Silent lossy repair of Windows paths is a data-correctness issue, not just cosmetic."
10172,https://github.com/cline/cline/issues/10172,README.md and VSCode description are very out-of-date (mostly from 2024),2026-04-07,2026-06-20,philfung,VS Code,docs,meta-task,confirmed-by-code,yes,low,yes,,,"The GitHub README half is done (`README.md` was rewritten in 09885cb88 ""docs: rewrite README for monorepo structure (#10461)"" and polished in 6c9f72049 / 678b0ae95). The Marketplace half is still open: `apps/vscode/README.marketplace.md` -- the source `.vscodeignore` names as the marketplace README swapped in by `scripts/marketplace-readme.mjs` -- still opens with the 2024 copy (""Meet Cline, an AI assistant that can use your CLI aNd Editor"" / ""Thanks to Claude Sonnet's agentic coding capabilities""), and `apps/vscode/README.md` is a 0-byte file.",Marketing copy for the 4.0 extension listing needs a human author; also worth deciding whether the empty `apps/vscode/README.md` should be a stub or symlink.
10179,https://github.com/cline/cline/issues/10179,Sub-agents do not work properly with z-ai/glm-5 (and glm-5.1),2026-04-08,2026-06-09,KOlizer,stale|VS Code,sdk-agents,bug,legacy-only,no,medium,no,,,"The mechanism the reporter correctly diagnosed (a GLM prompt variant calling `.overrideComponent(""TOOL_USE_SECTION"", ...)`) no longer exists: `rg` finds zero hits for `overrideComponent` or `TOOL_USE_SECTION` anywhere on main, and there is no per-model prompt-variant directory (`sdk/packages/agents/src` is just `agent-runtime.ts`; prompts live in `sdk/packages/shared/src/prompt/`). Subagents are now real function-calling tools named `use_subagent_<name>` (`apps/vscode/src/core/task/tools/subagent/SubagentToolName.ts`), so they are advertised through the tool schema rather than a hand-written prose section.",Excellent report against the 3.x bundle; the reporter's PR targets dead code paths. Same reasoning retires the Hermes/XS variant part of it.
10187,https://github.com/cline/cline/issues/10187,Impossible to enable auto-approve for specific MCP tools,2026-04-08,2026-06-09,SkyElianneLavoie,VS Code,vscode-new,bug,confirmed-by-code,yes,medium,yes,,,"The gating the reporter calls inverted is still on main: `apps/vscode/webview-ui/src/components/mcp/configuration/tabs/installed/server-row/McpToolRow.tsx:53` renders the per-tool Auto-approve checkbox only when `autoApprovalSettings.actions.useMcp` is true (same at `ServerRow.tsx:331`), so with the master MCP toggle off there is no way to set per-tool auto-approve. Runtime side in `apps/vscode/src/sdk/sdk-tool-policies.ts:64` also short-circuits to `false` when `!settings.actions.useMcp`.","Partially improved on main: `isToolAutoApproved` now requires `tool.autoApprove` as well, so with the master toggle ON the per-tool checkboxes are no longer no-ops (the second half of the report is fixed). What remains is a UX/labelling decision: ""Use MCP servers"" now behaves as ""allow per-tool auto-approve"" but hides the per-tool controls when off. Reporter confirms still broken as of 3.88.1 and Nightly."
